,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
31086,GBR,Corporate,0,0,No Deposit,12,Transient-Party,A,0,0,0
20887,CHE,Direct,0,2,No Deposit,0,Transient,C,0,1,0
4943,BRA,Direct,0,3,No Deposit,0,Transient,E,1,1,0
29579,NLD,Online TA,0,0,No Deposit,0,Transient,E,0,4,0
80255,BEL,Groups,0,1,No Deposit,185,Transient-Party,D,0,0,0
40002,NLD,Offline TA/TO,0,0,No Deposit,63,Transient-Party,A,0,1,0
11984,USA,Online TA,0,3,No Deposit,0,Transient,B,1,1,0
36894,PRT,Online TA,1,1,No Deposit,0,Transient,E,0,1,1
9827,PRT,Online TA,0,5,No Deposit,0,Transient,A,0,2,0
2500,ESP,Direct,0,3,No Deposit,0,Transient,E,0,1,0
209,SWE,Groups,0,3,No Deposit,0,Transient-Party,E,1,0,0
13093,PRT,Direct,0,3,No Deposit,0,Transient,E,1,2,0
39362,GBR,Offline TA/TO,0,1,No Deposit,0,Contract,E,0,0,0
12561,NLD,Online TA,0,1,No Deposit,0,Transient-Party,B,0,3,0
26977,ESP,Online TA,0,0,No Deposit,0,Transient-Party,A,3,2,0
2130,PRT,Groups,1,0,Non Refund,35,Transient,A,0,0,1
1501,FRA,Offline TA/TO,0,0,No Deposit,0,Transient-Party,B,0,1,0
5735,PRT,Direct,0,1,No Deposit,0,Transient-Party,E,1,0,0
6135,GBR,Groups,2,0,No Deposit,0,Transient-Party,E,0,0,1
43723,NOR,Online TA,0,2,No Deposit,0,Transient-Party,A,0,5,0
32339,PRT,Complementary,5,0,No Deposit,0,Transient,A,0,3,0
28756,PRT,Direct,2,1,No Deposit,0,Transient,A,0,2,1
1216,PRT,Groups,1,0,Non Refund,22,Transient,A,0,0,1
64181,PRT,Offline TA/TO,0,0,Non Refund,165,Transient,A,0,0,1
844,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,0
41370,PRT,Online TA,1,0,No Deposit,0,Transient,B,0,2,1
17106,PRT,Offline TA/TO,0,0,Non Refund,71,Transient,A,0,0,1
77778,ESP,Offline TA/TO,0,0,No Deposit,0,Transient,D,2,0,0
1795,PRT,Online TA,0,1,No Deposit,0,Transient,A,1,1,0
916,PRT,Direct,0,0,No Deposit,0,Transient,H,1,0,0
16049,GBR,Groups,0,10,No Deposit,0,Transient-Party,D,0,0,0
17828,GBR,Direct,0,6,No Deposit,0,Transient,A,0,0,0
27891,PRT,Offline TA/TO,0,0,No Deposit,0,Transient-Party,H,0,1,0
49227,DNK,Direct,0,0,No Deposit,0,Transient,C,0,4,0
3571,ARG,Direct,0,3,No Deposit,0,Transient-Party,D,0,0,0
40417,GBR,Offline TA/TO,0,1,No Deposit,0,Contract,E,0,2,0
29096,BRA,Corporate,0,1,No Deposit,15,Transient-Party,D,0,1,0
41385,PRT,Corporate,1,3,No Deposit,0,Transient,A,0,0,1
3727,PRT,Corporate,3,2,No Deposit,0,Transient,A,0,1,0
5908,CN,Online TA,0,5,No Deposit,0,Transient,D,0,0,0
1857,GBR,Groups,0,6,No Deposit,0,Transient-Party,D,0,0,0
44968,GBR,Online TA,0,2,No Deposit,0,Transient,C,0,2,0
14956,PRT,Online TA,1,0,No Deposit,0,Transient-Party,A,0,1,1
2042,PRT,Online TA,0,1,No Deposit,0,Transient,C,1,0,0
81268,GBR,Online TA,0,1,No Deposit,0,Transient,F,0,5,0
773,PRT,Online TA,0,0,No Deposit,0,Transient,G,1,0,0
63423,ESP,Direct,0,5,No Deposit,0,Transient-Party,E,1,3,0
56378,PRT,Online TA,3,0,No Deposit,0,Transient-Party,A,0,2,1
23332,ESP,Direct,0,2,No Deposit,0,Transient,H,0,0,0
407,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,D,1,0,0
3997,USA,Online TA,0,2,No Deposit,0,Transient-Party,D,0,1,0
25062,ESP,Online TA,0,1,No Deposit,0,Transient,C,1,2,0
11357,PRT,Online TA,0,0,No Deposit,0,Transient,F,0,4,0
23875,NOR,Online TA,0,0,No Deposit,0,Transient-Party,D,0,5,0
5905,PRT,Groups,0,1,No Deposit,98,Transient-Party,A,0,0,1
2957,PRT,Corporate,1,0,No Deposit,0,Transient,A,1,2,0
9038,ISR,Direct,0,1,No Deposit,0,Transient,A,0,5,0
12307,CHN,Online TA,0,1,No Deposit,0,Transient-Party,D,1,1,0
43185,FRA,Offline TA/TO,0,1,No Deposit,43,Transient-Party,A,0,1,0
48073,PRT,Complementary,2,1,No Deposit,0,Transient,G,0,1,0
36418,PRT,Groups,1,0,No Deposit,31,Transient-Party,A,0,0,1
76314,PRT,Online TA,0,5,No Deposit,0,Transient-Party,E,1,2,0
