,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
69248,ESP,Online TA,0,4,No Deposit,0,Transient,G,1,5,0
8090,GBR,Groups,0,5,No Deposit,0,Transient-Party,A,0,0,0
48500,PRT,Direct,0,0,No Deposit,0,Group,D,1,0,0
65780,PRT,Groups,0,2,No Deposit,1,Transient-Party,D,1,1,0
25349,ITA,Offline TA/TO,0,0,No Deposit,40,Transient-Party,A,0,0,0
21431,GBR,Groups,0,4,No Deposit,0,Transient-Party,D,1,0,0
29361,GBR,Online TA,0,3,No Deposit,0,Transient-Party,G,0,0,0
65781,PRT,Direct,11,0,No Deposit,0,Transient,E,0,0,1
10877,PRT,Offline TA/TO,0,1,No Deposit,22,Transient-Party,A,0,1,0
2021,PRT,Direct,1,0,No Deposit,0,Transient,D,0,1,1
63148,PRT,Offline TA/TO,2,2,No Deposit,0,Group,A,0,0,0
41117,CYP,Groups,0,1,No Deposit,25,Transient-Party,A,0,2,0
982,PRT,Groups,0,1,Non Refund,0,Transient,H,0,0,1
273,ESP,Online TA,0,2,No Deposit,0,Transient,F,0,0,0
5963,ESP,Offline TA/TO,0,0,No Deposit,33,Transient-Party,A,0,0,0
10385,PRT,Direct,0,0,No Deposit,0,Transient-Party,F,0,0,0
4875,GBR,Online TA,0,1,No Deposit,0,Transient,C,0,0,0
9278,PRT,Offline TA/TO,1,0,Non Refund,15,Transient,A,0,0,1
27039,PRT,Direct,1,1,No Deposit,0,Transient,E,0,0,0
4657,GBR,Groups,0,0,No Deposit,101,Transient-Party,D,0,0,0
75141,PRT,Online TA,0,1,No Deposit,0,Group,F,0,3,0
65640,PRT,Groups,21,0,No Deposit,0,Transient-Party,A,0,0,1
577,DEU,Online TA,0,3,No Deposit,0,Transient,D,0,1,0
7684,PRT,Online TA,1,1,No Deposit,0,Transient,G,0,0,1
49055,PRT,Corporate,3,2,No Deposit,0,Transient-Party,A,0,0,0
45282,ESP,Online TA,0,6,No Deposit,0,Transient,A,0,3,0
4542,GBR,Groups,0,4,No Deposit,0,Transient-Party,D,0,0,0
45424,AUT,Online TA,0,3,No Deposit,0,Transient-Party,F,0,2,0
22366,AUT,Groups,0,1,No Deposit,176,Transient-Party,A,0,0,0
